"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1239","test_verify_credkart_url_001","testcases","2026-02-05","passed","2026-02-05","Test_User_Profile","test_CredKart_User_Profile_001","",""
"","20678","test_credkart_login_params_004[credkart_login_data1]","testcases","2026-02-05","passed","2026-02-05","Test_User_Login_By_Parameters","test_CredKart_login_through_params_003","",""
"","20569","test_credkart_login_params_004[credkart_login_data3]","testcases","2026-02-05","passed","2026-02-05","Test_User_Login_By_Parameters","test_CredKart_login_through_params_003","",""
"","66006","test_credkart_login_excel_ddt_003","testcases","2026-02-05","passed","2026-02-05","Test_User_Profile","test_CredKart_Login_Excel_002","",""
"","1939","test_credkart_login_002","testcases","2026-02-05","passed","2026-02-05","Test_User_Profile","test_CredKart_User_Profile_001","",""
"","1764","test_credkart_registration","testcases","2026-02-05","passed","2026-02-05","Test_User_Profile","test_CredKart_User_Profile_001","",""
"","2892","test_credkart_login_params_004[credkart_login_data0]","testcases","2026-02-05","passed","2026-02-05","Test_User_Login_By_Parameters","test_CredKart_login_through_params_003","",""
"","21043","test_credkart_login_params_004[credkart_login_data2]","testcases","2026-02-05","passed","2026-02-05","Test_User_Login_By_Parameters","test_CredKart_login_through_params_003","",""
